Designator,Mid  X,Mid Y,Layer,Rotation
C1,117.975,-76.75,top,0
C2,114.25,-83.98,top,180
C3,114.5,-86.23,top,90
C4,113.75,-91.73,top,-90
C5,113.77,-93.25,top,180
C6,118,-78.25,top,0
C7,129.75,-98.23,top,-90
C8,134.25,-81.48,top,-90
C9,134.77,-83,top,0
C10,131,-98.25,top,-90
C11,119.02,-98,top,180
C12,113.77,-94.75,top,180
C13,113.77,-96,top,180
C14,113,-99,top,0
C15,114.25,-102,top,180
C16,110.75,-85,top,90
C17,118.25,-101.25,top,-90
C18,106.77,-89,top,180
C19,138.5,-93.75,top,180
C20,137.7,-98.0325,top,-90
C21,143.25,-97.73,top,90
C22,141.5,-90.5,top,-90
C23,137.5,-91.27,top,90
C24,150.8,-99,top,0
C25,150.75,-101.75,top,0
D1,121.5,-98.7875,top,90
D2,102.2875,-95.25,top,0
D3,102.25,-91.75,top,0
D4,102.325,-97,top,0
D5,102.2875,-93.5,top,0
D6,150.7875,-105.5,top,180
FB1,113.2875,-97.5,top,180
FB2,139.25,-90.75,top,-90
J1,106.09,-65.75,top,90
J2,150.675,-85.82,top,90
J3,151.37,-116.25,top,-90
J4,95.25,-85.58,top,180
L1,144.25,-104.5,top,90
R1,115.3375,-104,top,180
R2,116.25,-101.075,top,90
R3,109,-89,top,0
R4,121.5,-102.075,top,-90
R5,98.75,-95.25,top,180
R6,98.7125,-91.75,top,180
R7,121,-77.76,top,-90
R8,98.7875,-97,top,180
R9,98.75,-93.5,top,180
R10,132.25,-77.575,top,-90
R11,147.75,-78.575,top,90
R12,146.75,-92.25,top,180
R13,145.75,-96.9125,top,90
R14,149.0875,-96.25,top,0
R15,150.75,-107.75,top,180
SW1,104,-106.5,top,180
SW2,95.43,-68.15,top,-90
U1,124.325,-88.04,top,0
U2,140.25,-97.9,top,90
U3,138.8625,-85.95,top,180
Y1,107.9,-86.35,top,180